Team,Conference,ConferenceAbbrev,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Toledo,Mid-American,MAC,Rockets,TOL,TOLEDO,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
Western Michigan,Mid-American,MAC,Broncos,WMU,W Michigan,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
Air Force,Mountain West,MWC,Falcons,AFA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Boise St.,Mountain West,MWC,Broncos,BSU,Boise St,Boise State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Colorado St.,Mountain West,MWC,Rams,CSU,Colorado St,Colorado State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Fresno St.,Mountain West,MWC,Bulldogs,FRES,Fresno St,Fresno State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Hawaii,Mountain West,MWC,Rainbow Warriors,HAW,Hawai'i,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Nevada,Mountain West,MWC,Wolf Pack,NEV,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Mexico,Mountain West,MWC,Lobos,UNM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png
San Diego St.,Mountain West,MWC,Aztecs,SDSU,San Diego St,San Diego State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San Jose St.,Mountain West,MWC,Spartans,SJSU,San Jose St,San Jose State,San José State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
UNLV,Mountain West,MWC,Rebels,UNLV,Nevada-Las Vegas,Nevada Las Vegas,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
Utah St.,Mountain West,MWC,Aggies,USU,Utah St,Utah State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png
Wyoming,Mountain West,MWC,Cowboys,WYO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
Arizona,Pac 12,Pac-12,Wildcats,ARIZ,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona St.,Pac 12,Pac-12,Sun Devils,ASU,Arizona St,Arizona State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
California,Pac 12,Pac-12,Golden Bears,CAL,Cal,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Colorado,Pac 12,Pac-12,Buffaloes,COLO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Oregon,Pac 12,Pac-12,Ducks,ORE,UO,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon St.,Pac 12,Pac-12,Beavers,ORST,Oregon St,Oregon State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Stanford,Pac 12,Pac-12,Cardinal,STAN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
UCLA,Pac 12,Pac-12,Bruins,UCLA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
USC,Pac 12,Pac-12,Trojans,USC,Southern Cal,Southern California,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Utah,Pac 12,Pac-12,Utes,UTAH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Washington,Pac 12,Pac-12,Huskies,WASH,UW,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington St.,Pac 12,Pac-12,Cougars,WSU,Washington St,Washington State,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Alabama,Southeastern,SEC,Crimson Tide,ALA,BAMA,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Arkansas,Southeastern,SEC,Razorbacks,ARK,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Auburn,Southeastern,SEC,Tigers,AUB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Florida,Southeastern,SEC,Gators,FLA,UF,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Georgia,Southeastern,SEC,Bulldogs,UGA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Kentucky,Southeastern,SEC,Wildcats,UK,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
LSU,Southeastern,SEC,Tigers,LSU,Louisiana State,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Ole Miss,Southeastern,SEC,Rebels,MISS,Mississippi,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Mississippi St.,Southeastern,SEC,Bulldogs,MSST,Mississippi St,Mississippi State,Miss St,Miss St.,,,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Missouri,Southeastern,SEC,Tigers,MIZ,MIZZ,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png
South Carolina,Southeastern,SEC,Gamecocks,SC,SCAR,S Carolina,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Tennessee,Southeastern,SEC,Volunteers,TENN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas A&M,Southeastern,SEC,Aggies,TAMU,Texas A&M,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Vanderbilt,Southeastern,SEC,Commodores,VAN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Appalachian St.,Sun Belt,Sun Belt,Mountaineers,APP,Appalachian St,App State,Appalachian,Appalachian State,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arkansas St.,Sun Belt,Sun Belt,Red Wolves,ARST,Arkansas St,AKST,Arkansas State,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Coastal Carolina,Sun Belt,Sun Belt,Chanticleers,CCU,C. Carolina,Coast Carolina,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
